0	Current dot display. Compare the glow of the dots alone.
1	Compare beat positions moving from left to right.
2	Circular beat visualization selected as a candidate for FRETIVA LAB.
3	Compare the feel of strumming with a swinging guitar pick.
4	An evolution of Logo 09 that brings the six strings into focus.
5	A refined bowl and leg make the R silhouette clearer from a distance.
6	A minimal design with a restrained sound wave, leaving the R and guitar strings.
7	Aligned upper strings and tuning pegs suit a headstock engraving.
8	Subtle fretboard proportions echo the instrument's construction.
9	Compact strokes and spacing remain legible as a small app icon.
10	A firm lower edge and silhouette designed for printing on picks.
11	A lightweight symbol using minimal lines for the R, six strings, and rhythm.
12	A premium balance of dark studio lighting and metallic texture.
13	A precise design with tightly aligned lower endpoints and baselines.
14	Elongated proportions emphasize the strings transforming into an R.
15	A narrower design suited to stickers and badges.
16	A leading candidate balancing the R with sound waves on either side.
17	Refined line endings and joints inspired by fine guitar inlays.
18	A clear diagonal leg makes the R immediately recognizable.
19	A softened R curve emphasizes the natural bend of the strings.
20	A horizontal baseline suited to amplifier badges and equipment plates.
21	Contrast and structure preserve the R silhouette in monochrome.
22	A balanced combination of strings, R, and waves for the official FRETIVA LAB symbol.
23	A final candidate adaptable to headers, picks, and T-shirts.
24	RI combined into a compact brand symbol
25	RIFF highlighted as the core practice concept
26	A signature FF inspired by string connections
27	A premium nameplate with a sharply finished R leg
28	A mastery concept with the final B as a seal
29	The full name paired with an [R] symbol on the left
30	A separate slogan rail emphasizes the brand philosophy
31	A double frame evokes an equipment nameplate
32	A fine, precise wordmark inspired by laser engraving
33	A gold logo on a black metal plate
34	Inspired by recording console labels and measurement equipment
35	A vintage guitar amplifier nameplate
36	A brand plate for stage equipment
37	The feel of a premium instrument brand
38	A frame inspired by headstock proportions
39	A pick silhouette anchors the nameplate
40	Repeating riff patterns expressed through lines
41	Repeated practice visualized as instrument markings
42	A polished structure resembling a mastery certification
43	A high-end audio front panel concept
44	Inspired by analog meters and precision instruments
45	An information layout resembling an instrument serial plate
46	A design with distinctive Art Deco corners
47	The feel of embossed gold foil on fine print
48	Outlined lettering and an engraved frame
49	A riff line passing through the wordmark
50	Practice checkpoints integrated into a nameplate
51	An aperture frame draws focus to the center
52	The heritage feel of a lasting instrument brand
53	Laboratory labels meet music equipment
54	Guitar string dividers organize the letter spacing
55	A stamp-style logo inspired by precision instruments
56	A hardware nameplate with pronounced rivets
57	A restrained premium nameplate with generous space
58	A nameplate fit for center stage
59	An amplifier control panel label concept
60	A wordmark inspired by boutique guitar shop signs
61	Mastery expressed in a single gold line
62	A candidate for the final brand seal
63	Full FRETIVA LAB wordmark
64	RIFF repetition accent
65	Clang A
66	Clang and Clap
67	Bright metallic sound with a short clap
68	Clang B
69	Shimmer
70	A brighter mix of hi-hat and sparkle
71	Clang C
72	Metallic Clap
73	A clap accented with metallic tones
74	Clang D
75	Combo Shimmer
76	A wider, brighter sound for combos
77	The headstock points upward and occupies about 16–20% of the total length. Align all six tuning posts around its centerline.
78	Place tuning buttons on both sides of the headstock, connected to the posts with short arms so they do not look like string anchors.
79	Route each string from tuning post to nut, fretboard, saddle, and bridge pin.
80	The nut marks the headstock–fretboard boundary. All strings pass over it before crossing the fretboard.
81	Keep the fretboard edges parallel from headstock to body, with horizontal frets confined to the fretboard.
82	Place the sound hole at the upper center of the body, the bridge below it, the saddle near the top of the bridge, and six bridge pins below the saddle.
83	Place the pickguard to the right of the sound hole, with its pointed end following the sound hole's edge.
84	Use a continuous curve from shoulders through waist to lower bout, with a gentle cutaway only on the right shoulder.
85	Use a broad Martin/Gibson-style lower bout without overinflating it. Close the bottom with a continuous curve, with no flat edges or corners.
86	A standard acoustic player with a large body and strong presence
87	An acoustic with a balanced waist and an agile feel
88	A compact vintage acoustic with a clear silhouette
89	A broad jumbo body with a powerful firing feel
90	A mini guitar that reads clearly on small mobile screens
91	A natural classical guitar with a soft nylon-string feel
92	A warm cedar top with a dark central sound hole
93	A deep brown classical guitar in rosewood tones
94	A premium classical guitar with a black body and gold accents
95	A vintage classical guitar with an old music shop feel
96	A Strat-style guitar with a visible pickguard and three pickups
97	A Tele-style guitar with an angular single-cut body and prominent bridge plate
98	An LP-style guitar with a thick single-cut body and humbuckers
99	A sharp cutaway and a fast shooter silhouette
100	An aggressive headstock and sharp body for metal riffs
101	A scout guitar player with a rounded headstock and a small, playful body
102	A main player candidate with a gold top and a clear centerline
103	A companion design with soft shoulders and subtle stage lighting
104	A player candidate whose pickguard suggests a character's expression
105	A fast, compact player with clearly defined headstock and strings
106	A balanced auditorium candidate with a refined waist
107	A grand auditorium with a broad lower bout and narrow waist
108	A modern acoustic with a gentle upper cutaway
109	A sleek single cutaway with a stage-ready silhouette
110	A rounded vintage slope-shoulder design
111	A small parlor guitar with a distinct silhouette
112	A premium traditional dreadnought with gold edging
113	A vintage candidate with aged amber tones and a classic pickguard
114	A premium black top with a refined cutaway
115	A broad jumbo body in bright maple tones
116	A black nylon-string body with a refined classical headstock
117	A flamenco-style candidate with a slim, bright body
118	A clean design emphasizing concert classical proportions
119	A premium classical candidate in dark rosewood tones
120	A simplified LP-style gold single-cut guitar
121	An offset electric candidate in stage blue
122	A bold red body that stands out in the shooter
123	A gold electric candidate with a subtle semi-hollow character
124	An aggressive black body with a sleek metal headstock
125	An angular Tele-style body with a wider pickguard
126	Traditional dreadnought proportions with a precisely aligned headstock
127	An improved OM design with a narrow waist and balanced fretboard
128	A small, balanced grand concert body
129	A jumbo with a broad, symmetrical lower bout
130	A gentle Venetian cutaway on the right shoulder
131	A stage-ready design with a restrained modern cutaway
132	A defined waist with overall symmetry
133	A travel guitar with a small body and clear headstock details
134	A short-neck design with a vintage 12-fret feel
135	An archtop silhouette reinterpreted as an acoustic player
136	Fine wood texture with a refined bridge
137	A concert body with a small cutaway
138	A modern interpretation of slope shoulders
139	A slim body designed to read clearly on mobile
140	A baritone-inspired design with a long neck and balanced lower bout
141	A premium large body in deep rosewood tones
142	A bright maple top with a stage-ready pickguard
143	A cedar-tone OM body with soft curves
144	A premium black top with distinctive bird inlays
145	Sunburst tones paired with a right-side cutaway
146	A new orchestra design with a narrow waist and balanced proportions
147	A new traditional dreadnought with a more angular headstock and balanced body
148	A new studio-inspired design with a slim, gentle right-side cutaway
149	A new boutique-inspired cedar design with a deep waist
150	A new stage player with a broad lower bout and clear centerline
151	A new traditional dreadnought with broad shoulders and a gently curved waist
152	A new OM design with a narrow waist and natural upper-bout proportions
153	An auditorium design with continuous curves and fine gold edging
154	A new gentle right-side cutaway opening toward the sound hole
155	A new stage design with rose-brown tones and realistic pickguard placement
156	A simplified, structurally grounded design based on Martin D-28 dreadnought proportions
157	A candidate reflecting D-18-style shoulders and clearly defined bridge pins
158	A candidate with an HD-28-style broad lower bout and premium edging
159	A candidate inspired by Gibson J-45 slope shoulders and a balanced waist
160	A Hummingbird-inspired design simplifying square shoulders and a large pickguard
161	A candidate reflecting Taylor 814ce grand auditorium cutaway proportions
162	A candidate inspired by the 314ce's bright top and gentle Venetian cutaway
163	A slim, legible cutaway silhouette inspired by the 214ce
164	A candidate with a Yamaha FG5-style dreadnought body and bridge
165	A simplified Yamaha LL16-inspired broad lower bout and elongated lines
166	A vintage dreadnought emphasizing rounded shoulders and a realistic pin bridge
167	A modern dreadnought with balanced proportions and a straight fretboard
168	A realistically proportioned OM design with a narrow waist and rosewood tones
169	A balanced candidate inspired by an auditorium body and cedar top
170	A candidate reflecting grand auditorium lower-bout volume and sound-hole placement
171	A restrained right-shoulder cutaway with realistic guitar proportions
172	A gentle cutaway that preserves acoustic body balance
173	A stage acoustic with an understated modern cutaway
174	A broad jumbo lower bout with a bright maple-style top
175	A simplified Gibson Hummingbird-inspired square-shoulder design
176	A new dreadnought line with a continuous flow from shoulders through waist to lower bout
177	A traditional acoustic with a honey-colored top and restrained lower curve
178	A reinterpretation of Yamaha FG5-style shoulders and rounded lower bout
179	A vintage design with slope shoulders and a natural waist
180	A square-shoulder design with a softly curved lower bout
181	An OM candidate with a narrow waist and distinct sound-hole proportions
182	A compact 000 body with a continuous lower curve
183	An auditorium candidate with balanced proportions and an organic lower curve
184	A stage-ready grand auditorium design with a gold rosette
185	A gentle, realistic right-shoulder cutaway
186	A Venetian cutaway with carefully aligned sound hole and pickguard
187	A practice-room design with cedar tones and a restrained lower bout
188	A premium candidate with deep rosewood tones and a mother-of-pearl rosette
189	A candidate with bright maple tones and a balanced lower bout
190	A premium black body contrasting with a mother-of-pearl rosette
191	Sunburst tones combined with a realistic dreadnought silhouette
192	A small, refined OM design with a boutique guitar shop feel
193	A studio-inspired body with thin gold edging
194	A restrained jumbo design with no exaggerated lower-bout bulge
195	A heritage design with refined bird inlays and a mother-of-pearl rosette
196	An all-mahogany dreadnought based on Martin D-15M proportions
197	Satin mahogany texture with a clean square-shoulder silhouette
198	A studio candidate with D-body shoulders and lower curves
199	A dark mahogany D-body candidate with restrained gold edging
200	A defined D-15M silhouette designed to read as a stage player
201	A candidate inspired by the Taylor 814ce's right-shoulder cutaway
202	A simpler grand auditorium cutaway
203	A gentle treble-side cutaway with a shallow lower curve
204	A broad lower bout paired with a flowing Venetian cutaway
205	Auditorium proportions with a natural right-shoulder cutaway
206	A restrained cutaway that preserves the dreadnought body
207	Mahogany tones paired with a D-body cutaway
208	A cutaway with dark rosewood tones and a mother-of-pearl rosette
209	Bright maple tones with a clearly defined treble-side cutaway
210	A black body with a distinctive cutaway silhouette
211	A sunburst body with a gentle right shoulder
212	A restrained cutaway with a cedar-top feel
213	A clear cutaway silhouette designed for the shooter player
214	A rounded Venetian cutaway with no sharp angles
215	A soft cutaway flowing continuously from upper bout to waist
216	An organic modern cutaway with no straight edges
217	A boutique-inspired narrow waist and cutaway
218	A mother-of-pearl rosette and premium cutaway silhouette
219	A cutaway with a honey-colored top and a continuous lower curve
220	A candidate based on the side profile and lower curve of the supplied reference
221	A standard player guitar using the supplied Just Play / JP dreadnought image unchanged
222	A player guitar using the supplied Just Play / JP black cutaway acoustic image unchanged
223	A player guitar using the supplied Just Play / JP mahogany cutaway acoustic image unchanged
224	A player guitar using the supplied Just Play / JP emerald-green cutaway acoustic image unchanged
225	A player guitar using the supplied Just Play / JP floral hummingbird dreadnought image unchanged
226	A player guitar using the supplied Just Play / JP phoenix-art dreadnought image unchanged
227	A player guitar using the supplied white-pearl dreadnought with gold and mother-of-pearl phoenix details unchanged
228	A player guitar using the supplied Just Play / JP sunburst classic electric image unchanged
229	A player guitar using the supplied black wood-grain single-cut electric with gold hardware unchanged
230	A player guitar using the supplied figured-wood double-cut electric with bird inlays unchanged
231	A player guitar using the supplied Just Play / JP archtop jazz guitar image unchanged
232	A player guitar using the supplied Just Play / JP sunburst resonator image unchanged
233	A player guitar using the supplied Just Play / JP archtop with phoenix and mother-of-pearl details unchanged
234	A player bass using the supplied Just Play / JP sunburst gold bass image unchanged
235	A player bass using the supplied aqua-blue four-string bass with a pearl pickguard unchanged
236	A player bass using the supplied deep-red figured-wood four-string bass with a black carbon pickguard and gold hardware unchanged
237	A standard cutaway shooter guitar with JUST PLAY logos on the headstock and sound-hole label
238	A standard PNG candidate with a red sunburst finish on the same acoustic body
239	A standard PNG candidate in the existing white-gold pearl finish
240	A cutaway shooter guitar PNG with gold phoenix artwork
241	A cutaway shooter guitar PNG with natural wood and blue-gold details
242	An epic shooter guitar PNG with a black dreadnought body and mother-of-pearl binding
243	An ancient-relic cutaway shooter guitar PNG with a black body and gold stars
244	A sanctuary-inspired cutaway shooter guitar PNG with an ivory-white body and gold artwork
245	An ice-spirit cutaway shooter guitar PNG with winter-night and moonlit frost patterns
246	A standard dreadnought with a dark mother-of-pearl rosette and a raised bridge
247	A mahogany candidate with reduced spacing between sound hole and bridge
248	A stage candidate with deep sunburst tones and a dark mother-of-pearl rosette
249	Acoustic
250	Electric
251	Effects
252	Pets
253	Maps
254	Picks
255	Black leather pick
256	Tortoiseshell pick
257	Wood-grain pick
258	Pearl ivory pick
259	Brushed gold pick
260	Brushed silver pick
261	Blue sapphire pick
262	Purple amethyst pick
263	Carbon-fiber pick
264	Neon pink pick
265	Neon cyan pick
266	Cracked lava pick
267	Frosted ice-crystal pick
268	Green leaf-vein pick
269	Purple galaxy pick
270	Antique bronze pick
271	Rose gold pick
272	Black obsidian pick
273	Iridescent prism opal pick
274	Turquoise wave pick
275	Choose a random map each time you enter the shooter
276	AURA · Around the guitar
277	Independent effects placed around the guitar
278	FLOOR · Ground
279	Effects for the ground beneath the guitar
280	No additional guitar effects
281	Legendary Violet Set
282	Rune circle, rising aura, and starlight particles
283	Soft Blue Aura
284	A blue aura around the guitar
285	Nature Aura
286	A green leaf aura
287	Mystic Aura
288	A purple magical aura
289	Legendary Aura
290	A red legendary guitar aura
291	Blue Light
292	A blue magic circle beneath the guitar
293	Nature Circle
294	A green nature magic circle
295	Mystic Circle
296	A purple mystic magic circle
297	Legendary Circle
298	A red legendary magic circle
299	Floating Leaves
300	Leaves orbiting the guitar
301	Mystic Shards
302	Purple decorative shards
303	Legendary Shards
304	Red shards with enhanced hit fragments
305	Breathing Aura
306	A softly spreading lower aura
307	Flame Aura
308	Flames rising beneath the guitar
309	Eclipse Aura
310	An intense red eclipse aura
311	{value1} 8-frame aura
312	{value1} static floor
313	{value1} static guitar stand
314	No aura around the guitar
315	Lava Flame Aura
316	Soft lava flames curl around both sides of the guitar
317	Moonlight Aura
318	A blue moonlight aura with crescent moons and stars around the guitar
319	Galaxy Orbital Aura
320	A purple cosmic aura with planets and galaxy orbits around the guitar
321	Forest Vine Aura
322	A forest aura with blue spirit lights and green vines growing beside the guitar
323	Frost Snowflake Aura
324	A blue ice aura with frost vines and snowflakes illuminating both sides of the guitar
325	No floor effect beneath the guitar
326	Burning Portal
327	A burning portal directly beneath the guitar
328	Moonlight Floor
329	A blue moonlight magic circle engraved with constellations
330	Galaxy Orbital Floor
331	A cosmic base with a rotating galaxy and planetary orbits
332	Forest Vine Floor
333	A magical base of mossy rocks and blue forest patterns
334	Frost Snowflake Floor
335	A frost magic circle with blue ice crystals and snowflake patterns
336	Tropical Guitar Stand
337	A dedicated circular wooden deck for the guitar
338	Live Concert Stage
339	A circular wooden stage surrounded by amplifiers and lighting towers
340	Flame
341	Moonlight
342	Galaxy
343	Vine
344	Frost
345	Standard six-string 13 voicing · omit the 11th · retain 1·3·5·7·9·13
346	Standard 13 voicing · omit the 5th and 11th · retain 1·3·7·9·13
347	Standard m13 voicing · omit the 5th and 11th · retain 1·♭3·♭7·9·13
348	C position of the verified movable fourth-string-root shape
349	Db position of the verified movable fourth-string-root shape
350	D position of the verified movable fourth-string-root shape
351	Eb position of the verified movable fourth-string-root shape
352	E position of the verified movable fourth-string-root shape
353	Standard F shape shared by both chord references
354	F#/Gb entry in both references
355	G position of the verified movable fourth-string-root shape
356	Cross-checked against the Ab entry and movable fourth-string-root shape; XX7657 in the add9 text is an A shape and is not used
357	A position of the verified movable fourth-string-root shape
358	Standard closed shape from the Bbadd9 entry
359	B position of the verified movable fourth-string-root shape
360	User-defined Cadd9 reference and open-chord teaching material
361	Main Cadd2 reference diagram; retains the 3rd and doubles the 5th
362	Open Cadd2 from teaching material; a secondary option with a low 2nd
363	Dadd2 teaching shape, also used under the add9 naming convention
364	Main Dadd2 diagram; mute string 3
365	Eadd9 teaching shape: F# on string 1
366	Eadd2 teaching shape: F# on string 4
367	Main Gadd9 diagram: 320203
368	Alternative open G from the reference. Used only for G; not transposed
369	Open teaching shape shared by Aadd2/add9; no arbitrary alternative fingering generated
370	Explicit shape from the Dbadd9 reference
371	Explicit shape from the Dbadd2 entry
372	Explicit shape from the Ebadd9 entry
373	Explicit shape from the Ebadd2 entry
374	Original Bbadd2 shape including open D; not moved to other roots
375	Explicit alternative from the Badd2 reference. Its wide stretch is not labeled easy
376	Repeat one track
377	Turn repeat off
378	Repeat all tracks
379	Move backing loop (drag or use arrow keys)
380	Popular or recommended feature
381	New feature
382	Feature in beta
383	Members-only feature
384	Feature in development
385	Recommended for beginners
386	Beginner
387	Solo practice feature
388	Check the beam settings.
389	Select consecutive eighth or sixteenth notes in one bar. Rests, gaps, and separate triplet groups cannot be joined.
390	Beams can be broken at eighth or sixteenth notes.
391	Select at least two consecutive notes in the same bar.
392	A selection containing rests, gaps, or quarter notes or longer cannot be beamed together.
393	Select notes with no gaps between them.
394	Triplet beams can only be edited within their existing three-note group. They cannot be joined to regular notes.
395	Basics
396	Scale Across Two Strings
397	Move back and forth between two strings, carrying the same pattern onto the next string.
398	Licks
399	Ascending and Descending Lick
400	Play a short rising phrase and a falling response in steady eighth notes.
401	Ballad
402	Quarter- and Eighth-Note Lick
403	Distinguish quarter notes from eighth notes and hold the final note of each phrase for its full length.
404	Rock
405	Pentatonic Position Round Trip
406	Retrace three-note minor pentatonic groups across two octaves.
407	Blue-Note Staircase
408	Move only between adjacent strings, passing through the blue note (♭5) one note at a time. Avoid same-fret vertical moves and string skipping.
409	Late beginner · Learn the blue note in continuous eighth notes, using adjacent strings and avoiding same-fret vertical moves.
410	Chord-Tone Runs
411	Jazz Major-Seventh Arpeggio
412	Connect the 1st, 3rd, 5th, and 7th with string skips and position shifts.
413	Sixteenth-Note Position Shifts
414	Ascend and descend in four-note sequences across several positions. Play four notes per beat.
415	First Steps in Finger Spacing
416	Stay on one string for each bar and explore the distance from your index finger to each other finger. Descend slowly in the final two bars.
417	Early beginner · Repeat just two notes on one string in quarter notes. Change strings at the next bar and descend one note at a time only at the end.
418	Two-Note Hammer-on
419	Sound the second note marked H by hammering down with your finger, without picking again.
420	Descending Pull-off Lick
421	Fret the destination note marked P in advance, then connect the higher note to the lower one.
422	Connect Positions with Slides
423	Connect the two notes marked SL with the same finger, arriving on the indicated beat.
424	Two-Octave Triads
425	Connect the 1st, 3rd, and 5th across two octaves while practicing string-skipping picking.
426	Legato
427	Mixed Hammer-on, Pull-off, and Slide Lick
428	Combine H, P, and SL while picking unmarked notes to keep the phrase flowing.
429	Hammer-on (H): Pick the first note, then press a higher fret on the same string to sound the second. Keep both notes at a similar volume.
430	Pull-off (P): Fret the lower note in advance. Gently pull the higher finger off the string to sound it; do not pick the destination note again.
431	Slide (SL): Pick the first note, then keep the same finger on the string as you move to the destination fret. Arrive on the indicated beat.
432	Beginner · Focus on quarter- and eighth-note lengths and connecting short patterns.
433	Beginner · Develop steady eighth notes and movement between adjacent strings.
434	Beginner · Connect short ascending and descending patterns in one position.
435	Beginner · Focus on one technique: slow two-note hammer-ons.
436	Beginner · Focus on slow two-note pull-offs. Fret the lower note in advance.
437	Beginner · Steady eighth notes and chromatic movement within a small position. The blues label does not imply a higher difficulty.
438	Intermediate · Control position shifts across strings and the timing of slide arrivals.
439	Intermediate · Change the direction of three-note groups while connecting several positions.
440	Intermediate · Move across two octaves in eighth notes while controlling string skips and muting.
441	Intermediate · Focus on leaps between 1·3·5·7 and position shifts. This single major-seventh pattern is not an advanced jazz improvisation exercise.
442	Intermediate · Switch between hammer-ons, pull-offs, and slides in eighth notes. Techniques are combined, but speed and rhythm demands remain moderate.
443	Advanced · The upper level of this curriculum. Sustain continuous sixteenth notes at 80 BPM (about 5.3 notes per second) for eight bars while changing position and direction.
444	Learn two bars at a time, then connect four and eight bars. Listen for where a pattern repeats and where it changes.
445	Bars 1–3 introduce the pattern, bars 4–7 vary its range and shape, and bar 8 resolves to the tonic. Learn each section, then connect all eight bars.
446	Play vertically stacked TAB numbers together. Use your thumb (p) for bass and index (i), middle (m), and ring (a) fingers for strings 3, 2, and 1. Hold each chord shape to let notes ring together; mute previous notes at rests or chord changes.
447	This is a lead-guitar chord-tone exercise. Play one note at a time and lightly mute strings after leaving them. For accompaniment that holds chord shapes while plucking bass and treble together, use the arpeggio course.
448	Pick unmarked notes. Repeat one bar at a time, then connect bars once the rhythm is steady.
449	Chord diagrams show strings 1–6 from top to bottom, with higher frets to the right. × means do not play; ○ means open string; a thick vertical line is a barre; fr below indicates the starting fret. Circled 1·2·3·4 mean index, middle, ring, and little finger. Hold the chord shape instead of moving a finger for every note on the same fret.
450	Suggested starting tempo: {value1} BPM. Start slowly and check that volume and timing remain even.
451	After three uninterrupted runs at the same tempo, try increasing by 4 BPM. Rest and reduce tension if your hand becomes uncomfortable.
452	{value1}, from string 1 at the top: {value2}
453	Muted
454	Chord diagram start and end
455	A 49-bar fingerstyle sketch about recognizing a companion through loneliness and moving forward. Copy a favorite passage and make it your own.
456	Use your thumb for bass, index for middle voices, and middle and ring fingers for strings 2 and 1. Let the long top notes in the chorus sing.
457	Change on beat 3 for Esus4→E7 in bar 4 and Gsus4→G in bars 28, 44, and 48. Listen for C→B on string 2 between bars 19 and 20.
458	B7 in bar 12 sidesteps to Fmaj7 instead of resolving to Em. Feel the semitone moves D#→E and F#→F.
459	E7→Cadd9 in bar 36 delays the expected Am. G#→G and the shared E leave both darkness and warmth.
460	The final-bar rest leaves space between new attacks. Notes marked let ring continue to the end.
461	Intermediate · Explore mixed rhythms, partial voicings, and voice leading.
462	Arpeggios
463	Slowly connect open chords with partial voicings at frets 5–9.
464	Listen to chord changes, the top voice, and the space in rests. Save passages you like.
465	Composition sketch · Explore performance and expression for yourself.
466	Some notes fall below the new instrument's range and cannot be transferred at the same pitch.
467	Some notes exceed the new instrument's supported range and cannot be transferred at the same pitch.
468	The new instrument's strings and fingerings cannot preserve the existing simultaneous notes or harmonics.
469	This instrument is not supported.
470	Independent rhythms for two hands cannot be converted automatically to a single voice on another instrument. Save the piano score and start a new score.
471	Pitched scores and drum rhythms cannot be converted automatically. Start a new score.
472	Open ties, slide-outs, bends, and parentheses are for string instruments only. Remove them before changing instruments.
473	Muted notes cannot be converted to pitches.
474	Bar {value1}, note {value2}
475	Bar {value1} chord diagram
476	Bar {value1}: Check the fingering needed to preserve existing connected techniques. The score has not changed.
477	Bar {value1}: The tied fingering cannot be preserved. The score has not changed.
478	Two-Note Call and Response
479	Hold a long note and let the next bar answer. Feel the direction of the two-bar phrase instead of adding more notes.
480	Sustained half notes and two-bar phrases. Learn one rhythm at a time.
481	Repeating Pentatonic Hook
482	Repeat the same rhythm to build a memorable hook. Mute during rests and wait for the next opening note.
483	A small pentatonic range with quarter rests. Keep the beat through the silence.
484	Pop Phrase Landing on the Third
485	Let the first phrase rest briefly on the third, then resolve the response to the tonic. Keep the long notes ringing.
486	A late-beginner exercise for players who know the basic scale and can sustain a long destination note.
487	Ballad Melody with Space
488	Rest on the final beat of each bar to leave space between phrases. Distinguish the short opening notes from the long notes that follow.
489	Practice muting on quarter rests alongside eighth-note phrasing.
490	Repeat-and-Vary Mini Solo
491	Repeat a slightly varied rhythmic question, then resolve to a low tonic in the final two bars. Use straight rhythm.
492	Beginner finale: Pass briefly through the blue note and connect eight bars, including the rests.
493	Alternating Thirds
494	Alternate thirds instead of moving stepwise. Hear each pair as a unit and keep the beat when direction changes.
495	Control third-interval leaps and string changes in continuous eighth notes.
496	Return to the Pivot Note
497	Keep the recurring pivot note steady while changing the pitches around it.
498	Control picking that returns to the same note as the intervals widen.
499	Offbeat Pentatonic Entry
500	Start on the offbeat after the opening eighth rest. Feel beat 1 in your body while your picking enters later.
501	Combine entry after an eighth rest with connected positions.
502	String Skipping in Fourths
503	Mute the skipped string on each fourth-interval leap. Wider intervals do not change the timing between notes.
504	Requires string skipping in fourths and muting unused strings.
505	Chord-Tone Position Lick
506	Start each bar on a chord tone, then connect sixteenth-note approach tones to eighth- and quarter-note leaps. Keep counting through long destination notes.
507	Combine chord-tone choices with diagonal position shifts, leaps, and transitions from sixteenth to eighth to quarter notes.
508	Short Run, Long Landing
509	Play four notes on the first beat, then reduce the density and land on a long note. The tempo stays the same after the sixteenths end.
510	Practice switching between one beat of sixteenths and eighth or quarter notes.
511	Call, Offbeat, and Response Solo
512	Even-numbered bars answer the odd-numbered bars on the offbeat. Shape patterns and accents so the recurring rhythm is clear.
513	Connect position shifts, offbeat entries, and repeated patterns within an eight-bar phrase.
514	Continuous Sixteenth-Note Thirds
515	Play thirds in four-note groups without adding tension at string changes.
516	Combines continuous sixteenths, leaps in thirds, and diagonal position shifts.
517	Cross-String Sixteenth-Note Fourths
518	Connect fast fourth-interval leaps while muting skipped strings. Keep all four notes even immediately after a string change.
519	Sustain string-skipping fourths in sixteenth notes.
520	Sixteenth-Note Pivot Expansion
521	Listen separately to the recurring pivot and the moving melody. Keep picking motions small through wide leaps.
522	Combine a repeated sixteenth-note pivot with wide intervals and position shifts.
523	Four-Note Pentatonic Sequence
524	Overlap four-note pentatonic groups. Accent only the first note of each bar and keep the remaining sequence even.
525	Maintain continuous sixteenth-note sequences through wide pentatonic intervals.
526	Triads in Reverse
527	Ascend and descend through triads in sixteenths. Sweep picking is optional; coordinate picking and muting so each note remains distinct.
528	Control fast arpeggio leaps, direction changes, and string muting together.
529	Major-Seventh Zigzag
530	Zigzag between the 1st, 3rd, 5th, and 7th. This is a technique exercise over a single major-seventh chord.
531	Connect major-seventh leaps in sixteenths while shifting positions across two octaves.
532	Fast Blue-Note Response
533	Treat the blue-note sequence as brief passing tones. Use even sixteenths, not swing.
534	Maintain sixteenths while alternating chromatic passing tones and wide blues intervals.
535	Eighth- and Sixteenth-Note Density
536	Alternate busy bars with spacious ones. Keep the metronome beat unchanged when the note count drops.
537	Switch both note density and position at a high tempo.
538	Offbeat Sixteenth-Note Sequence
539	In bars that start with a sixteenth rest, enter one subdivision after the beat. Do not rush the first note after the rest.
540	Requires accurate entry after a sixteenth rest and a steady internal pulse through continuous sequences.
541	Three-Technique Legato
542	Connect consecutive notes on the same string with H, P, and SL. Pick again when changing strings and keep each note at an even volume.
543	Sustain technique changes, string changes, and position shifts in sixteenth notes.
544	Sequences and Leaps: Complete Solo
545	Connect stepwise motion, thirds, fourths, and pivot patterns into one phrase. Hear the first beat of each new pattern and resolve to the final tonic.
546	Advanced synthesis: Maintain a fast rhythm while changing the interval pattern in each bar.
547	Connect Strings One Beat at a Time
