"id","status","root","extension","shape","actual","theory","required","omitted","duplicates","mute","open","fingers","barres","movement","representative","finding","alternative"
"e-power","유지 가능","E","5","0 2 2 x x x","E2 · B2 · E3 · X · X · X","E–B","E–B","없음","E×2","3,2,1","6","O 3 4 X X X","없음","이동형; E 개방 원형과 닫힌 3지 운지 모두 가능.","기본 후보 가능. C처럼 다른 루트에서는 A형과 별도 순서 결정.","기본 6번줄 1–5–1 이동형. 3도 없음은 생략이 아니라 power 코드 정의.","동일 형태 유지 후보"
"a-power","유지 가능","C","5","x 3 5 5 x x","X · C3 · G3 · C4 · X · X","C–G","C–G","없음","C×2","6,2,1","없음","X 1 3 4 X X","없음","이동형; A의 개방 버전은 손가락 1을 누르지 않음.","C5 기본 후보 가능; 모든 루트에서 1순위라는 뜻은 아님.","기본 5번줄 1–5–1 이동형. 검지·약지·소지로 연주 가능.","동일 형태 유지 후보"
"full-e11","추가 검증 필요","E","11","0 0 0 1 0 2","E2 · A2 · D3 · G#3 · B3 · F#4","E–G#–B–D–F#–A","E–G#–B–D–F#–A","없음","없음","없음","6,5,4,2","O O O 2 O 3","없음","개방 E 원형. 닫힌 바레 변형은 별도 실전 검증 필요.","보류. 전체 음 강제 보존으로 1구간을 확정하면 안 됨.","완전 구성음은 맞음. 현재 정확한 6현 형태에 대한 교육 자료의 교차 확인 부족. 3도와 11도의 밀집은 오류가 아니지만 표준 대표성의 근거도 아님.","C11 x3333x [U], omit3/5. sus 계열과 같은 발음임을 명시할 조건부 후보"
"a13","유지 가능","C","13","x 3 2 3 3 5","X · C3 · E3 · Bb3 · D4 · A4","C–E–G–Bb–D–F–A","C–E–Bb–D–A","G·F","없음","6","없음","X 2 1 3 3 4","3f / 3→2번줄 / 손가락3","5번줄 루트 이동형.","C13 기본 재즈 후보 가능. E형과 루트별 우선순위는 미확정.","두 기타 사전에서 C x32335 확인. 검지 2f, 중지 루트, 약지 G/B 부분바레, 소지 5f. 저포지션에서는 넓지만 실제 교육 도표가 있는 운지.","동일 C13 x32335 유지 후보"
"full-e13","추가 검증 필요","E","13","0 2 0 1 2 2","E2 · B2 · D3 · G#3 · C#4 · F#4","E–G#–B–D–F#–A–C#","E–G#–B–D–F#–C#","A","없음","없음","6,4","O 3 O 2 4 4","2f / 2→1번줄 / 손가락4","6번줄 루트 바레 후보; 개방형과 이동형 별도 검수.","보류. 완전성 우선 점수로 shell보다 자동 우선 금지.","5현 shell의 자료는 충분하나 5번줄을 추가한 정확한 6현 형태의 독립 교육 근거 부족. 개방 E와 닫힌 바레 난이도 차이 큼.","G13 3x3455 [T/D] 또는 C13 x32335 [J/D]"
"shell-e13","유지 가능","G","13","3 x 3 4 5 5","G2 · X · F3 · B3 · E4 · A4","G–B–D–F–A–C–E","G–B–F–A–E","D·C","없음","5","없음","1 X 1 2 3 3","3f / 6→4번줄 / 손가락1; 5f / 2→1번줄 / 손가락3","6번줄 루트 이동형. 5현이라도 단순 3음 shell과는 구별.","G13 등 기본 재즈 후보 가능. 모든 코드의 고포지션 1구간 승격은 금지.","5도·11도 생략과 실제 5현 형태가 복수 자료에서 일치. 낮은 검지 바레와 상단 부분바레, 5번줄 뮤트 필요.","동일 G13 3x3455 유지 후보"
"c-add2","추가 검증 필요","C","add2","x 3 0 0 1 0","X · C3 · D3 · G3 · C4 · E4","C–D–E–G","C–D–E–G","없음","C×2","6","4,3,1","X 4 O O 2 O","없음","open-position으로 분리할 후보. 닫힌 C형의 3프렛 벌림·바레 별도 검증.","C 개방형은 보존 후보, 전 루트 대표 배정은 보류.","C 개방 x30010은 교육 PDF에 있음. 그러나 현재 레코드는 이 원형을 모든 루트로 이동함. 개방형 근거만으로 이동형 승인 불가.","C x30010 [C]; A x02420 [C]는 다른 개방형 후보"
"g-add2","교체 필요","G","add2","3 0 0 0 0 3","G2 · A2 · D3 · G3 · B3 · G4","G–A–B–D","G–A–B–D","없음","G×3","없음","5,4,3,2","3 O O O O 4","없음","G open-position으로 분리. 원형의 O를 계속 O로 두면 조옮김 오류; 모두 닫아도 연주성은 별개.","현재 전 루트 대표 배정 교체 필요. G 개방 원형 삭제 제안 아님.","G 300003의 사용 근거 있음. 이를 A 522225로 이동하면 내부 4줄 2f 바레와 양 끝 5f 동시 운지. 음은 맞지만 대표 이동형으로 일반화할 근거 부족.","Aadd2 x02420 [C]: A–E–B–C#–E, 3도 있음. 기타 교육 자료의 개방형 후보"
"e-add11","추가 검증 필요","E","add11","0 0 2 1 0 0","E2 · A2 · E3 · G#3 · B3 · E4","E–G#–B–A","E–G#–B–A","없음","E×3","없음","6,5,2,1","O O 3 2 O O","없음","개방 E와 닫힌 E형 구분. F 113211은 [B]에 있으나 독립 교차 근거 추가 필요.","E 개방 원형 보존 가능; 전체 루트 순위 보류.","E 002100을 add11 또는 add4로 두 교육 자료에서 확인. 현재의 모든 루트 이동형 지위까지 검증된 것은 아님.","E 002100 [B/C] 유지 후보"
"c-add11","추가 검증 필요","C","add11","x 3 3 0 1 0","X · C3 · F3 · G3 · C4 · E4","C–E–G–F","C–E–G–F","없음","C×2","6","3,1","X 3 3 O 2 O","3f / 5→4번줄 / 손가락3","개방 C형으로 분리 후보; 닫힌 이동형은 미승인.","C 개방형 보존 후보. 이동형 대표 배정 보류.","C x33010은 두 자료에서 add11/add4로 확인. 4도 음역이며 3도 E도 유지. 이동하면 부분바레와 넓은 C형을 요구.","C x33010 [B/C] 또는 x32011 [B], 후자는 F4가 위에 놓임"
